機構名稱,地址,電話,家庭醫學科,內科,外科,整形外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,神經科,神經外科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,職業醫學科,西醫一般科,口腔病理科,口腔顏面外科,齒顎矯正科,牙科一般,牙科,中醫一般科,中醫
郵政醫院（委託中英醫療社團法人經營）,臺北市中正區福州街14號,23956755,X,V,V,X,X,X,V,V,X,V,V,X,V,X,V,V,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X
國立台灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,23123456,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,X
國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,23123456,X,X,V,X,V,X,X,X,X,X,X,V,X,X,V,V,V,X,X,X,X,X,X,X,X,X,X,X,V,X,X
臺北市立聯合醫院,臺北市大同區鄭州路145號,25523234,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,X,V,V,V
泰安醫院,臺北市中山區民權東路二段92巷2之1號,25375633,X,V,X,X,X,X,X,X,X,X,X,X,X,X,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
協和婦女醫院,臺北市中山區松江路85巷5號、93巷6號,25072222,X,X,X,X,V,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,V,V,X,X
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,25433535,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路2段92號,25433535,X,X,V,X,V,X,V,X,V,V,V,V,X,V,V,V,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X
長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,27135211,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,X,V,V,V,V,X,V,X,V
基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424、426號,27718151,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,X,V,V,X,X,V,X,V,V,X,X
博仁綜合醫院,臺北市松山區光復北路66號、68號,25786677,V,V,V,X,V,V,V,V,V,V,V,V,V,X,V,V,V,X,X,X,X,V,V,V,X,X,X,X,V,X,X
培靈醫院,臺北市松山區八德路四段355號,27606116,X,X,X,X,X,X,X,X,X,X,X,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,27462151,V,V,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,X,V,X,X,X,X,X,V,V,X,X
中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,27081166,V,V,V,V,V,V,V,V,V,V,V,X,V,V,V,V,V,X,X,X,X,X,X,X,X,X,X,V,V,X,X
國立臺灣大學醫學院附設癌醫中心醫院,臺北市大安區基隆路 3段155巷57號 ,23220322,X,V,V,X,X,X,X,X,V,X,X,X,X,X,X,V,V,X,V,V,V,X,X,X,X,X,X,X,X,X,X
秀傳醫院,臺北市大安區光復南路116巷1、3、5號,27717172,X,V,X,X,X,V,X,X,X,X,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號,27713161,V,V,V,X,V,V,V,V,V,V,X,X,V,V,V,V,V,X,X,X,X,X,X,X,X,X,X,V,V,X,X
中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,27510221,V,V,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,X,X,X,X,X,V,X,X,V,X,V,V,X,X
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號、280號,27082121,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,X,V,X,X
同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,23059292,X,V,V,X,X,X,X,X,X,X,X,X,X,X,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,V
財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街200、243號,23021131,V,V,V,X,X,V,V,X,V,V,V,X,V,X,V,X,V,X,X,X,X,X,X,X,X,X,X,V,V,V,V
西園醫療社團法人西園醫院,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,23329888,V,V,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,X,X,X,X,V,X,X,X,X,X,X,V,X,X
國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路37號、臺北市萬華區內江街87號及89號 ,23717101,V,V,X,X,V,V,X,X,V,V,X,X,V,X,V,V,X,X,X,X,X,X,X,X,X,X,X,X,V,X,X
臺北醫學大學附設醫院,臺北市信義區吳興街252號、250號,27372181,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號及士商路51號,28332211,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,V,V,V,V
三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號 中和街250號,28959808,V,V,X,X,X,X,X,X,X,X,X,V,X,X,X,X,X,X,X,X,X,X,X,V,X,X,X,V,V,X,X
臺北市北投健康管理醫院,臺北市北投區中和街2號,28988686,X,V,X,V,X,X,X,X,X,X,X,X,X,X,X,X,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X
醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,28970011,X,V,V,V,V,V,V,V,V,V,X,V,V,V,V,V,V,V,V,V,V,X,X,V,X,X,X,X,V,X,X
振興醫療財團法人振興醫院,臺北市北投區振興街45號,28264400,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,X,V,X,X,X,V,V,V,V
臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路二二五巷12號,28587000,V,V,X,X,X,X,X,X,X,X,X,V,V,X,V,X,V,X,X,X,X,X,X,X,X,X,X,X,V,V,V
臺北榮民總醫院,臺北市北投區石牌路二段201號、322號,28712121,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,X,V,X,V
中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號、362號,27919696,V,V,V,X,V,V,V,V,V,X,X,V,V,V,V,V,V,X,X,X,X,X,X,X,X,X,X,X,X,V,V
康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,26345500,V,V,V,X,V,V,V,V,V,V,X,X,V,X,V,V,V,X,X,X,X,V,X,X,X,X,X,V,V,X,X
三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,87923311,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V
臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,臺北市文山區興隆路三段111號,29307930,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V
景美醫院,臺北市文山區羅斯福路六段280號、文山區育英街2巷18號、文山區羅斯福路六段276巷1號1樓,29331010,V,V,V,X,X,X,V,X,X,X,X,X,X,X,V,V,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X
